trade_date,ts_code,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-31,801120.SI,食品饮料,24783.8,24102.19,24858.75,24140.62,-603.72,-2.44,137911.0,4352463.0,36.13,6.95,267432311.0,642217069.105989
2023-02-01,801120.SI,食品饮料,24196.09,23802.92,24237.59,24237.59,96.97,0.4,124630.0,3955619.0,36.28,6.98,268535948.0,644637480.634714
2023-02-02,801120.SI,食品饮料,24308.98,24139.16,24529.33,24408.39,170.8,0.7,160811.0,4668163.0,36.54,7.03,270428337.0,648911350.024842
2023-02-03,801120.SI,食品饮料,24221.47,23881.11,24246.58,24168.14,-240.25,-0.98,122732.0,3998988.0,36.18,6.96,267768017.0,642498513.836177
2023-02-06,801120.SI,食品饮料,23687.64,23401.51,23833.1,23756.54,-411.6,-1.7,108714.0,4274902.0,35.56,6.84,263224108.0,632341917.586525
2023-02-07,801120.SI,食品饮料,23871.04,23666.88,23909.4,23729.05,-27.49,-0.12,94587.0,2934421.0,35.52,6.83,262919564.0,631893551.961675
2023-02-08,801120.SI,食品饮料,23772.14,23487.67,23817.61,23568.29,-160.76,-0.68,90964.0,2536158.0,35.28,6.78,261199132.0,627221053.680341
2023-02-09,801120.SI,食品饮料,23527.44,23527.44,24176.28,24116.63,548.34,2.33,103104.0,3823356.0,36.1,6.94,267276259.0,641932384.4487
2023-02-10,801120.SI,食品饮料,24078.99,23975.19,24236.07,24159.56,42.93,0.18,127182.0,3490517.0,36.16,6.95,267758554.0,642922060.071363
2023-02-13,801120.SI,食品饮料,24126.04,24126.04,25059.35,24884.76,725.2,3.0,174812.0,5877734.0,37.25,7.16,275797672.0,662140842.092078
2023-02-14,801120.SI,食品饮料,24904.69,24689.74,25028.39,24777.83,-106.93,-0.43,156437.0,4404796.0,37.09,7.13,274655057.0,659584906.510096
2023-02-15,801120.SI,食品饮料,24830.76,24668.0,24954.1,24732.39,-45.44,-0.18,133486.0,3802387.0,37.02,7.11,274151335.0,658295444.052752
2023-02-16,801120.SI,食品饮料,24712.27,24620.55,25215.85,24816.39,84.0,0.34,151903.0,4852420.0,37.15,7.14,275140816.0,660628279.715188
2023-02-17,801120.SI,食品饮料,24714.9,24534.48,25126.42,24552.09,-264.3,-1.07,130195.0,4291836.0,36.75,7.06,272182004.0,653164079.295624
2023-02-20,801120.SI,食品饮料,24553.69,24394.66,25082.76,25058.66,506.57,2.06,124669.0,4177040.0,37.51,7.21,277797781.0,666413279.184255
2023-02-21,801120.SI,食品饮料,25031.73,24682.96,25031.73,24861.33,-197.33,-0.79,113769.0,3677150.0,37.22,7.15,275610192.0,661533353.756005
2023-02-22,801120.SI,食品饮料,24721.23,24597.92,24990.78,24697.47,-163.86,-0.66,127200.0,3677604.0,36.97,7.1,273799529.0,657448399.744464
2023-02-23,801120.SI,食品饮料,24682.25,24349.03,24867.8,24480.66,-216.81,-0.88,121954.0,3370583.0,36.65,7.04,271395909.0,651613301.357498
2023-02-24,801120.SI,食品饮料,24397.85,23991.58,24397.85,24121.98,-358.68,-1.47,89481.0,3087477.0,36.11,6.94,267419514.0,642303728.839296
2023-02-27,801120.SI,食品饮料,23977.37,23953.6,24463.4,24368.47,246.49,1.02,101051.0,3378273.0,36.48,7.01,270191159.0,649414611.597713
2023-02-28,801120.SI,食品饮料,24454.86,24137.02,24532.57,24394.06,25.59,0.11,86747.0,2763056.0,36.52,7.02,270485362.0,650148631.041571
2023-03-01,801120.SI,食品饮料,24394.46,24255.43,24729.74,24651.71,257.65,1.06,88407.0,3018691.0,36.91,7.09,273342270.0,656648291.88428
2023-03-02,801120.SI,食品饮料,24566.36,24520.03,24680.02,24573.13,-78.58,-0.32,92806.0,2502550.0,36.79,7.07,272470961.0,654182165.175964
2023-03-03,801120.SI,食品饮料,24690.96,24284.46,24794.67,24429.92,-143.21,-0.58,91008.0,2630770.0,36.58,7.03,270883038.0,650151707.131413
2023-03-06,801120.SI,食品饮料,24391.27,24221.42,24524.22,24365.55,-64.37,-0.26,99681.0,2989333.0,36.48,7.01,270161291.0,648431868.983626
2023-03-07,801120.SI,食品饮料,24331.25,23926.33,24331.25,23929.44,-436.11,-1.79,98140.0,3175508.0,35.83,6.88,265317659.0,636942408.716814
2023-03-08,801120.SI,食品饮料,23817.14,23652.68,23950.17,23749.95,-179.49,-0.75,67371.0,2340478.0,35.56,6.83,263327581.0,631971752.432574
2023-03-09,801120.SI,食品饮料,23758.35,23312.28,23833.73,23600.25,-149.7,-0.63,71520.0,2874734.0,35.34,6.79,261703490.0,628213229.594867
2023-03-10,801120.SI,食品饮料,23408.8,23308.54,23712.13,23308.54,-291.71,-1.24,69177.0,2354546.0,34.9,6.7,258468735.0,620873280.14601
2023-03-13,801120.SI,食品饮料,23327.26,23327.26,23738.33,23662.49,353.94,1.52,69301.0,2672428.0,35.43,6.8,262394065.0,630459408.109362
2023-03-14,801120.SI,食品饮料,23671.74,23274.55,23671.74,23493.9,-168.59,-0.71,73884.0,2597746.0,35.18,6.76,260550540.0,626111661.781592
2023-03-15,801120.SI,食品饮料,23707.42,23246.06,23712.58,23246.39,-247.51,-1.05,62715.0,2319451.0,34.81,6.68,257805651.0,619856079.851398
2023-03-16,801120.SI,食品饮料,23142.18,23090.75,23507.75,23213.35,-33.04,-0.14,64974.0,2262888.0,34.76,6.68,257439183.0,619290823.982283
2023-03-17,801120.SI,食品饮料,23443.74,22896.48,23443.74,22950.65,-262.7,-1.13,76797.0,2997351.0,34.37,6.6,254529541.0,612027030.321212
2023-03-20,801120.SI,食品饮料,22984.99,22598.51,22984.99,22681.07,-269.58,-1.17,85901.0,2890177.0,34.01,6.52,251539831.0,605419270.918332
2023-03-21,801120.SI,食品饮料,22760.7,22687.12,23370.19,23282.11,601.04,2.65,83244.0,3236218.0,35.2,6.7,258227630.0,620960960.477841
2023-03-22,801120.SI,食品饮料,23333.34,23189.13,23550.48,23245.04,-37.07,-0.16,70355.0,2468299.0,35.08,6.69,257816446.0,619880920.945605
2023-03-23,801120.SI,食品饮料,23173.11,23134.84,23589.21,23394.36,149.32,0.64,65594.0,2484074.0,35.34,6.73,259483949.0,623471348.271208
2023-03-24,801120.SI,食品饮料,23337.24,23315.33,23599.49,23422.96,28.6,0.12,75111.0,2221444.0,35.37,6.74,259773984.0,624449434.021433
2023-03-27,801120.SI,食品饮料,23439.5,23141.06,23439.5,23226.58,-196.38,-0.84,77882.0,2233732.0,35.1,6.69,257598627.0,619087657.759896
2023-03-28,801120.SI,食品饮料,23254.92,23254.92,23590.68,23531.78,305.2,1.31,77986.0,2503717.0,35.57,6.78,260983277.0,627345910.252307
2023-03-29,801120.SI,食品饮料,23692.01,23524.54,23740.46,23659.46,127.68,0.54,74831.0,2507048.0,35.74,6.81,262463335.0,630844833.011235
2023-03-30,801120.SI,食品饮料,23668.34,23554.03,23941.76,23911.68,252.22,1.07,83374.0,2786613.0,36.12,6.88,265299020.0,637405016.249696
2023-03-31,801120.SI,食品饮料,24086.33,23956.59,24319.17,23968.48,56.8,0.24,83887.0,3062259.0,35.58,6.95,265972974.0,639004735.492561
2023-04-03,801120.SI,食品饮料,23973.91,23761.58,24021.94,23819.26,-149.22,-0.62,86567.0,2966688.0,35.36,6.91,264317412.0,635114399.610881
2023-04-04,801120.SI,食品饮料,23879.6,23670.28,23995.8,23995.8,176.54,0.74,90431.0,3083997.0,35.62,6.94,266565635.0,640142235.318344
2023-04-06,801120.SI,食品饮料,23892.04,23529.75,23925.6,23604.9,-390.9,-1.63,77584.0,2626504.0,35.04,6.82,262227357.0,629325143.920469
